,0,1,2,3,4
sala_26,18.0,1.0,4.0,1.0,5.0
sala_27,18.0,4.0,7.0,3.0,5.0
sala_28,9.0,2.0,2.0,1.0,
sala_30,2.0,,1.0,,2.0
sala_31,6.0,2.0,5.0,1.0,2.0
sala_32,5.0,1.0,2.0,,3.0
sala_33,3.0,,3.0,,
sala_34,2.0,,,,1.0
sala_35,6.0,1.0,4.0,,2.0
sala_36,1.0,,,,
sala_37,7.0,2.0,3.0,,1.0
sala_38,8.0,2.0,3.0,2.0,3.0
sala_40,1.0,,,,
sala_43,5.0,2.0,2.0,1.0,1.0
sala_45,5.0,,4.0,,2.0
sala_46,1.0,,,,1.0
sala_47,8.0,4.0,5.0,1.0,3.0
sala_48,9.0,4.0,5.0,3.0,4.0
sala_51,1.0,,,,
sala_52,3.0,,1.0,,2.0
sala_53,1.0,1.0,2.0,,2.0
sala_54,9.0,,2.0,,2.0
sala_55,2.0,1.0,,1.0,2.0
sala_57,4.0,,1.0,,1.0
sala_58,7.0,4.0,5.0,2.0,5.0
sala_59,12.0,3.0,5.0,5.0,4.0
sala_60,5.0,2.0,3.0,,1.0
sala_61,2.0,1.0,,,2.0
sala_62,10.0,1.0,2.0,,
sala_63,2.0,3.0,1.0,,1.0
sala_64,2.0,1.0,,,
sala_65,6.0,1.0,,,
sala_66,4.0,,1.0,,
sala_67,1.0,,,,2.0
sala_70,1.0,1.0,3.0,,3.0
sala_71,8.0,1.0,2.0,1.0,1.0
sala_72,7.0,,2.0,,4.0
sala_73,2.0,1.0,,,
sala_74,7.0,1.0,2.0,,2.0
sala_75,3.0,,1.0,,
sala_76,4.0,1.0,1.0,,1.0
sala_78,18.0,3.0,5.0,,5.0
sala_79,4.0,,1.0,,3.0
sala_80,7.0,1.0,2.0,,1.0
sala_82,1.0,,2.0,,2.0
sala_83,12.0,7.0,5.0,3.0,3.0
sala_84,21.0,,9.0,,4.0
sala_85,6.0,2.0,,,3.0
sala_86,14.0,1.0,1.0,,2.0
sala_92,3.0,2.0,1.0,,3.0
sala_93,1.0,,3.0,,2.0
sala_94,11.0,3.0,4.0,,
sala_95,1.0,,,,
sala_99,1.0,,,,
sala_101,2.0,,,,1.0
sala_106,1.0,,,,
sala_107,6.0,1.0,,,2.0
sala_108,6.0,3.0,4.0,2.0,2.0
sala_109,3.0,1.0,2.0,,2.0
sala_110,1.0,,,,1.0
sala_111,5.0,,3.0,,3.0
sala_112,4.0,1.0,1.0,,
sala_113,3.0,1.0,,,1.0
sala_114,5.0,,,,
sala_120,2.0,,,,
sala_126,1.0,,2.0,,1.0
sala_127,1.0,,,,
sala_132,1.0,1.0,,1.0,1.0
sala_133,4.0,1.0,,,1.0
sala_134,3.0,2.0,4.0,2.0,3.0
sala_139,1.0,,,,
sala_144,2.0,1.0,,2.0,3.0
sala_145,1.0,,1.0,,1.0
sala_178,2.0,,,,
sala_179,1.0,,,,
sala_180,3.0,1.0,4.0,,2.0
