
Cantidad de observaciones con notas > 3:  51789
Positivos/Total:  0.042
Cantidad de observaciones para entrenamiento:  36252
Positivos/Total:  0.042
Variables:  ['cuat' 'SEDE' 'MATERIA' 'pa1' 'facultad' 'extranjero' 'turno' 'n_alum'
 'p_ext' 'recurso' 'p_recursa' 'pa1_prom' 'edad' 'prom_edad' 'abandona1_p']

===================
Validación cruzada con aucpr

107  rounds= 1  aucpr= 0.0416  std= 0.0007
108  rounds= 1  aucpr= 0.0416  std= 0.0007
109  rounds= 1  aucpr= 0.0416  std= 0.0007
110  rounds= 1  aucpr= 0.0416  std= 0.0007
111  rounds= 1  aucpr= 0.0416  std= 0.0007
112  rounds= 1  aucpr= 0.0416  std= 0.0007
113  rounds= 1  aucpr= 0.0416  std= 0.0007
114  rounds= 1  aucpr= 0.0416  std= 0.0007
115  rounds= 1  aucpr= 0.0416  std= 0.0007
116  rounds= 1  aucpr= 0.0416  std= 0.0007
117  rounds= 1  aucpr= 0.0416  std= 0.0007
118  rounds= 1  aucpr= 0.0416  std= 0.0007
119  rounds= 1  aucpr= 0.0416  std= 0.0007
120  rounds= 1  aucpr= 0.0416  std= 0.0007
121  rounds= 1  aucpr= 0.0416  std= 0.0007
122  rounds= 16  aucpr= 0.0681  std= 0.0036
123  rounds= 1  aucpr= 0.0416  std= 0.0007
124  rounds= 1  aucpr= 0.0416  std= 0.0007
125  rounds= 1  aucpr= 0.0416  std= 0.0007
126  rounds= 1  aucpr= 0.0416  std= 0.0007
127  rounds= 1  aucpr= 0.0416  std= 0.0007
128  rounds= 1  aucpr= 0.0416  std= 0.0007
129  rounds= 1  aucpr= 0.0416  std= 0.0007
130  rounds= 14  aucpr= 0.0879  std= 0.0018
131  rounds= 1  aucpr= 0.0416  std= 0.0007
132  rounds= 1  aucpr= 0.0416  std= 0.0007
133  rounds= 1  aucpr= 0.0416  std= 0.0007
134  rounds= 1  aucpr= 0.0416  std= 0.0007
135  rounds= 27  aucpr= 0.1005  std= 0.0041
136  rounds= 1  aucpr= 0.0416  std= 0.0007
137  rounds= 1  aucpr= 0.0416  std= 0.0007
138  rounds= 1  aucpr= 0.0416  std= 0.0007
139  rounds= 1  aucpr= 0.0416  std= 0.0007
140  rounds= 1  aucpr= 0.0416  std= 0.0007
141  rounds= 1  aucpr= 0.0416  std= 0.0007
142  rounds= 1  aucpr= 0.0416  std= 0.0007
143  rounds= 1  aucpr= 0.0416  std= 0.0007
144  rounds= 1  aucpr= 0.0416  std= 0.0007
145  rounds= 1  aucpr= 0.0416  std= 0.0007
146  rounds= 1  aucpr= 0.0416  std= 0.0007
147  rounds= 1  aucpr= 0.0416  std= 0.0007
148  rounds= 1  aucpr= 0.0416  std= 0.0007
149  rounds= 1  aucpr= 0.0416  std= 0.0007
150  rounds= 1  aucpr= 0.0416  std= 0.0007
151  rounds= 1  aucpr= 0.0416  std= 0.0007
152  rounds= 1  aucpr= 0.0416  std= 0.0007
153  rounds= 1  aucpr= 0.0416  std= 0.0007
154  rounds= 1  aucpr= 0.0416  std= 0.0007
155  rounds= 1  aucpr= 0.0416  std= 0.0007
156  rounds= 15  aucpr= 0.097  std= 0.0053
157  rounds= 1  aucpr= 0.0416  std= 0.0007
158  rounds= 1  aucpr= 0.0416  std= 0.0007
159  rounds= 1  aucpr= 0.0416  std= 0.0007
160  rounds= 1  aucpr= 0.0416  std= 0.0007
